IATA,ICAO,NAME,COUNTRY,ELEVATION,LATITUDE,LONGITUDE,WIKIPEDIA
CIG,KCAG,Craig-Moffat Airport,US,"6,193 feet","40° 29' 42.80"" N","107° 31' 17.93"" W",https://en.wikipedia.org/wiki/Craig-Moffat_Airport
CIH,ZBCZ,Changzhi Airport,CN,0 feet,"36° 14' 51.00"" N","113° 7' 33.60"" E",https://en.wikipedia.org/wiki/Changzhi_Wangcun_Airport
CIJ,SLCO,Capitan Anibal Arab Airport,BO,892 feet,"11° 2' 25.44"" S","68° 46' 58.79"" W",https://en.wikipedia.org/wiki/Capitan_Anibal_Arab_Airport
CIM,SKCM,Cimitarra Airport,CO,0 feet,"6° 22' 1.20"" N","73° 58' 1.20"" W",https://en.wikipedia.org/wiki/Cimitarra_Airport
CIN,KCIN,Arthur N. Neu Airport,US,"1,204 feet","42° 2' 46.30"" N","94° 47' 20.40"" W",https://en.wikipedia.org/wiki/Arthur_N._Neu_Airport
CIO,SGCO,Teniente Coronel Carmelo Peralta Airport,PY,253 feet,"23° 26' 24.00"" S","57° 25' 48.00"" W",https://en.wikipedia.org/wiki/Teniente_Coronel_Carmelo_Peralta_Airport
CIP,FLCP,Chipata Airport,ZM,0 feet,"13° 33' 29.88"" S","32° 35' 13.92"" E",https://en.wikipedia.org/wiki/Chipata_Airport
CIR,KCIR,Cairo Regional Airport,US,321 feet,"37° 3' 52.10"" N","89° 13' 10.60"" W",https://en.wikipedia.org/wiki/Cairo_Regional_Airport
CIS,PCIS,Canton Island Airport,KI,9 feet,"2° 46' 5.23"" S","171° 42' 36.02"" W",https://en.wikipedia.org/wiki/Canton_Island_Airport
CIT,UAII,Shymkent Airport,KZ,"1,385 feet","42° 21' 51.12"" N","69° 28' 44.03"" E",https://en.wikipedia.org/wiki/Shymkent_International_Airport
CIU,KCIU,Chippewa County International Airport,US,800 feet,"46° 15' 2.71"" N","84° 28' 20.59"" W",https://en.wikipedia.org/wiki/Chippewa_County_International_Airport
CIW,TVSC,Canouan Island Airport,VC,11 feet,"12° 41' 56.40"" N","61° 20' 32.64"" W",https://en.wikipedia.org/wiki/Canouan_Airport
CIX,SPHI,Capitán FAP José A. Quiñones Gonzales International Airport,PE,97 feet,"6° 47' 14.93"" S","79° 49' 41.17"" W",https://en.wikipedia.org/wiki/FAP_Captain_José_Abelardo_Quiñones_González_International_Airport
CIY,LICB,"Comiso ""Pio La Torre"" Airport",IT,0 feet,"0° 0' 0.00"" N","0° 0' 0.00"" E",https://en.wikipedia.org/wiki/Comiso_Airport
CIZ,SWKO,Coari Airport,BR,131 feet,"4° 8' 2.60"" S","63° 7' 57.20"" W",https://en.wikipedia.org/wiki/Coari_Airport
CJA,SPJR,Major General FAP Armando Revoredo Iglesias Airport,PE,"8,781 feet","7° 8' 21.05"" S","78° 29' 21.85"" W",https://en.wikipedia.org/wiki/Mayor_General_FAP_Armando_Revoredo_Iglesias_Airport
CJB,VOCB,Coimbatore Airport (Peelamedu Airport),IN,"1,324 feet","11° 1' 48.00"" N","77° 2' 36.25"" E",https://en.wikipedia.org/wiki/Coimbatore_International_Airport
CJC,SCCF,El Loa Airport,CL,"7,543 feet","22° 29' 53.52"" S","68° 54' 12.97"" W",https://en.wikipedia.org/wiki/El_Loa_Airport
CJI,LEDQ,Ciudad Real Central Airport,ES,0 feet,"0° 0' 0.00"" N","0° 0' 0.00"" E",
CJJ,RKTU,Cheong Ju International Airport,KR,"1,279 feet","36° 42' 59.75"" N","127° 29' 56.40"" E",https://en.wikipedia.org/wiki/Cheongju_International_Airport
CJL,OPCH,Chitral Airport,PK,"4,920 feet","35° 53' 11.76"" N","71° 48' 2.15"" E",https://en.wikipedia.org/wiki/Chitral_Airport
CJM,VTSE,Chumphon Airport,TH,18 feet,"10° 42' 40.32"" N","99° 21' 42.13"" E",https://en.wikipedia.org/wiki/Chumphon_Airport
CJS,MMCS,Abraham González International Airport,MX,"3,904 feet","31° 38' 9.96"" N","106° 25' 44.40"" W",https://en.wikipedia.org/wiki/Ciudad_Juárez_International_Airport
CJT,MMCO,Copalar Airport,MX,0 feet,"16° 10' 36.12"" N","92° 3' 2.15"" W",
CJU,RKPC,Jeju International Airport,KR,118 feet,"33° 30' 40.68"" N","126° 29' 34.79"" E",https://en.wikipedia.org/wiki/Jeju_International_Airport
CKA,KCKA,Kegelman Air Force Auxiliary Field,US,"1,202 feet","36° 45' 0.00"" N","98° 7' 0.00"" W",https://en.wikipedia.org/wiki/Kegelman_Air_Force_Auxiliary_Field
CKB,KCKB,North Central West Virginia Airport,US,"1,217 feet","39° 17' 47.90"" N","80° 13' 41.10"" W",https://en.wikipedia.org/wiki/North_Central_West_Virginia_Airport
CKC,UKKE,Cherkassy Airport,UA,"1,799 feet","49° 24' 56.16"" N","31° 59' 43.08"" E",
CKF,KCKF,Crisp County-Cordele Airport,US,310 feet,"31° 59' 19.80"" N","83° 46' 26.10"" W",https://en.wikipedia.org/wiki/Crisp_County-Cordele_Airport
CKG,ZUCK,Chongqing Jiangbei International Airport,CN,"1,365 feet","29° 43' 9.12"" N","106° 38' 31.19"" E",https://en.wikipedia.org/wiki/Chongqing_Jiangbei_International_Airport
CKH,UESO,Chokurdah Airport,RU,0 feet,"70° 37' 23.16"" N","147° 54' 7.17"" E",https://en.wikipedia.org/wiki/Chokurdakh_Airport
CKI,YCKI,Croker Island Airport,AU,67 feet,"11° 9' 54.00"" S","132° 28' 58.81"" E",https://en.wikipedia.org/wiki/Croker_Island_Airport
CKM,KCKM,Fletcher Field,US,173 feet,"34° 17' 59.00"" N","90° 30' 44.30"" W",https://en.wikipedia.org/wiki/Fletcher_Field
CKN,KCKN,Crookston Municipal Kirkwood Field,US,899 feet,"47° 50' 29.97"" N","96° 37' 17.23"" W",https://en.wikipedia.org/wiki/Crookston_Municipal_Airport
CKO,SSCP,Cornelio Procopio Airport,BR,"1,854 feet","23° 9' 9.39"" S","50° 36' 10.15"" W",https://en.wikipedia.org/wiki/Cornélio_Procópio_Airport
CKS,SBCJ,Carajas Airport,BR,"2,038 feet","6° 6' 55.00"" S","50° 0' 5.00"" W",https://en.wikipedia.org/wiki/Carajás_Airport
CKT,OIMC,Sarakhs Airport,IR,945 feet,"36° 30' 4.33"" N","61° 3' 53.64"" E",https://en.wikipedia.org/wiki/Sarakhs_Airport
CKV,KCKV,Outlaw Field,US,550 feet,"36° 37' 18.77"" N","87° 24' 53.83"" W",https://en.wikipedia.org/wiki/Clarksville-Montgomery_County_Regional_Airport
CKY,GUCY,Gbessia Airport,GN,72 feet,"9° 34' 36.80"" N","13° 36' 43.20"" W",https://en.wikipedia.org/wiki/Conakry_International_Airport
CKZ,LTBH,Canakkale Airport,TR,568 feet,"40° 8' 15.72"" N","26° 25' 36.48"" E",https://en.wikipedia.org/wiki/Çanakkale_Airport
CLA,VGCM,Comilla Airport,BD,0 feet,"23° 26' 13.92"" N","91° 11' 22.91"" E",https://en.wikipedia.org/wiki/Comilla_Airport
CLB,EICB,Castlebar Airport,IE,0 feet,"53° 50' 54.24"" N","9° 16' 49.33"" W",
CLD,KCRQ,McClellan-Palomar Airport,US,331 feet,"33° 7' 41.70"" N","117° 16' 48.30"" W",http://www.cannon.af.mil
CLE,KCLE,Cleveland Hopkins International Airport,US,791 feet,"41° 24' 42.08"" N","81° 50' 59.26"" W",http://www.clevelandairport.com/site/375/default.aspx
CLF,PACL,Clear Sky Lodge Airport,US,650 feet,"64° 18' 4.32"" N","149° 7' 11.98"" W",https://en.wikipedia.org/wiki/Clear_Airport
CLH,YCAH,Coolah Airport,AU,0 feet,"31° 46' 23.88"" S","149° 36' 36.00"" E",https://en.wikipedia.org/wiki/Coolah_Airport
CLI,KCLI,Clintonville Municipal Airport,US,822 feet,"44° 36' 49.73"" N","88° 43' 52.56"" W",https://en.wikipedia.org/wiki/Clintonville_Municipal_Airport
CLJ,LRCL,Cluj-Napoca International Airport,RO,"1,036 feet","46° 47' 6.71"" N","23° 41' 10.32"" E",https://en.wikipedia.org/wiki/Cluj_International_Airport
CLK,KCLK,Clinton Regional Airport,US,"1,615 feet","35° 32' 17.71"" N","98° 55' 57.68"" W",https://en.wikipedia.org/wiki/Clinton_Regional_Airport
CLL,KCLL,Easterwood Airport (Easterwood Field),US,321 feet,"30° 35' 18.90"" N","96° 21' 49.80"" W",http://www.easterwoodairport.com
CLM,KCLM,William R. Fairchild International Airport,US,291 feet,"48° 7' 12.70"" N","123° 29' 58.90"" W",https://en.wikipedia.org/wiki/William_R._Fairchild_International_Airport
CLN,SBCI,Carolina Airport,BR,565 feet,"7° 19' 13.58"" S","47° 27' 31.31"" W",https://en.wikipedia.org/wiki/Carolina_Airport
CLO,SKCL,Alfonso Bonilla Aragón International Airport,CO,"3,162 feet","3° 32' 35.59"" N","76° 22' 53.76"" W",https://en.wikipedia.org/wiki/Alfonso_Bonilla_Aragón_International_Airport
CLQ,MMIA,Licenciado Miguel de la Madrid Airport,MX,"2,467 feet","19° 16' 37.20"" N","103° 34' 37.21"" W",https://en.wikipedia.org/wiki/Colima_Airport
CLR,KCLR,Cliff Hatfield Memorial Airport,US,-182 feet,"33° 7' 52.80"" N","115° 31' 17.00"" W",https://en.wikipedia.org/wiki/Cliff_Hatfield_Memorial_Airport
CLS,KCLS,Chehalis-Centralia Airport,US,176 feet,"46° 40' 37.30"" N","122° 58' 57.89"" W",https://en.wikipedia.org/wiki/Chehalis-Centralia_Airport
CLT,KCLT,Charlotte/Douglas International Airport,US,748 feet,"35° 12' 50.40"" N","80° 56' 35.30"" W",https://www.cltairport.com/
CLU,KBAK,Columbus Municipal Airport,US,656 feet,"39° 15' 42.85"" N","85° 53' 46.68"" W",https://en.wikipedia.org/wiki/Columbus_Municipal_Airport_(Indiana)
CLV,SBCN,Caldas Novas Airport,BR,0 feet,"17° 43' 31.08"" S","48° 36' 26.99"" W",
CLV,SWKN,Caldas Novas Airport,BR,0 feet,"0° 0' 0.00"" N","0° 0' 0.00"" E",https://en.wikipedia.org/wiki/Caldas_Novas_Airport
CLW,KCLW,Clearwater Air Park,US,71 feet,"27° 58' 36.07"" N","82° 45' 31.46"" W",https://en.wikipedia.org/wiki/Clearwater_Air_Park
CLX,SATC,Clorinda Airport,AR,0 feet,"25° 18' 12.96"" S","57° 44' 3.84"" W",https://en.wikipedia.org/wiki/Clorinda_Airport
CLY,LFKC,Calvi Sainte-Catherine Airport,FR,209 feet,"42° 31' 50.88"" N","8° 47' 35.48"" E",https://en.wikipedia.org/wiki/Calvi_–_Sainte-Catherine_Airport
CLZ,SVCL,Calabozo Airport,VE,328 feet,"8° 55' 28.76"" N","67° 25' 1.53"" W",https://en.wikipedia.org/wiki/Calabozo_Airport
CMA,YCMU,Cunnamulla Airport,AU,77 feet,"28° 1' 48.00"" S","145° 37' 19.18"" E",https://en.wikipedia.org/wiki/Cunnamulla_Airport
CMB,VCBI,Bandaranaike International Airport,LK,30 feet,"7° 10' 50.74"" N","79° 53' 2.77"" E",https://en.wikipedia.org/wiki/Bandaranaike_International_Airport
CMC,SNWC,Camocim Airport,BR,0 feet,"2° 53' 46.25"" S","40° 51' 28.81"" W",
CMD,YCTM,Cootamundra Airport,AU,0 feet,"34° 37' 26.04"" S","148° 1' 40.80"" E",https://en.wikipedia.org/wiki/Cootamundra_Airport
CME,MMCE,Ciudad del Carmen International Airport,MX,10 feet,"18° 39' 13.32"" N","91° 47' 56.41"" W",https://en.wikipedia.org/wiki/Ciudad_del_Carmen_International_Airport
CMF,LFLB,Chambéry Airport,FR,779 feet,"45° 38' 17.16"" N","5° 52' 48.83"" E",https://en.wikipedia.org/wiki/Chambéry_Airport
CMG,SBCR,Corumbá International Airport,BR,461 feet,"19° 0' 43.00"" S","57° 40' 17.01"" W",https://en.wikipedia.org/wiki/Corumbá_International_Airport
CMH,KCMH,Port Columbus International Airport,US,815 feet,"39° 59' 52.70"" N","82° 53' 30.80"" W",https://en.wikipedia.org/wiki/John_Glenn_Columbus_International_Airport
CMI,KCMI,University of Illinois Willard Airport,US,754 feet,"40° 2' 21.30"" N","88° 16' 41.00"" W",http://www.flycmi.com
CMJ,RCCM,Qimei Airport,TW,63 feet,"23° 12' 47.16"" N","119° 25' 4.80"" E",https://en.wikipedia.org/wiki/Qimei_Airport
CMK,FWCM,Club Makokola Airport,MW,0 feet,"14° 18' 24.84"" S","35° 7' 57.00"" E",
CML,YCMW,Camooweal Airport,AU,0 feet,"19° 54' 42.12"" S","138° 7' 30.00"" E",https://en.wikipedia.org/wiki/Camooweal_Airport
CMM,MGCR,Carmelita Airport,GT,0 feet,"17° 27' 40.32"" N","90° 3' 13.33"" W",https://en.wikipedia.org/wiki/Carmelita_Airport
CMN,GMMN,Mohammed V International Airport,MA,656 feet,"33° 22' 3.00"" N","7° 35' 23.89"" W",https://en.wikipedia.org/wiki/Mohammed_V_International_Airport
CMO,HCMO,Obbia Airport,SO,0 feet,"5° 22' 0.00"" N","48° 30' 60.00"" E",https://en.wikipedia.org/wiki/Hobyo_Airport
CMP,SNKE,Santana do Araguaia Airport,BR,0 feet,"9° 19' 11.89"" S","50° 19' 42.60"" W",https://en.wikipedia.org/wiki/Santana_do_Araguaia_Airport
CMQ,YCMT,Clermont Airport,AU,0 feet,"22° 46' 23.16"" S","147° 37' 15.61"" E",https://en.wikipedia.org/wiki/Clermont_Airport
CMR,LFGA,Colmar-Houssen Airport,FR,0 feet,"48° 6' 35.65"" N","7° 21' 32.44"" E",https://en.wikipedia.org/wiki/Colmar_Airport
CMR,KCMR,H.A. Clark Memorial Field,US,"6,680 feet","35° 18' 19.50"" N","112° 11' 40.90"" W",https://en.wikipedia.org/wiki/H.A._Clark_Memorial_Field
CMS,HCMS,Scusciuban Airport,SO,0 feet,"10° 18' 0.00"" N","50° 13' 58.81"" E",https://en.wikipedia.org/wiki/Iskushuban_Airport
CMU,AYCH,Chimbu Airport,PG,0 feet,"6° 1' 27.44"" S","144° 58' 15.57"" E",https://en.wikipedia.org/wiki/Chimbu_Airport
CMV,NZCX,Coromandel Aerodrome,NZ,0 feet,"36° 47' 30.11"" S","175° 30' 32.41"" E",https://en.wikipedia.org/wiki/Coromandel_Aerodrome
CMW,MUCM,Ignacio Agramonte International Airport,CU,0 feet,"21° 25' 13.08"" N","77° 50' 51.01"" W",https://en.wikipedia.org/wiki/Ignacio_Agramonte_International_Airport
CMX,KCMX,Houghton County Memorial Airport,US,"1,095 feet","47° 10' 6.30"" N","88° 29' 20.62"" W",https://en.wikipedia.org/wiki/Houghton_County_Memorial_Airport
CMY,KCMY,Sparta/Fort McCoy Airport,US,837 feet,"43° 57' 30.05"" N","90° 44' 16.43"" W",https://en.wikipedia.org/wiki/Sparta/Fort_McCoy_Airport
CNA,MMCA,Cananea Airport,MX,0 feet,"31° 3' 58.14"" N","110° 5' 52.36"" W",
CNB,YCNM,Coonamble Airport,AU,0 feet,"30° 58' 59.88"" S","148° 22' 33.63"" E",https://en.wikipedia.org/wiki/Coonamble_Airport
CNC,YCCT,Coconut Island Airport,AU,0 feet,"10° 3' 0.00"" S","143° 4' 12.03"" E",https://en.wikipedia.org/wiki/Coconut_Island_Airport
CNC,KCNC,Chariton Municipal Airport,US,"1,050 feet","41° 1' 10.65"" N","93° 21' 34.85"" W",
CND,LRCK,Mihail Kog?lniceanu International Airport,RO,353 feet,"44° 21' 43.93"" N","28° 29' 17.88"" E",https://en.wikipedia.org/wiki/Mihail_Kogălniceanu_International_Airport
CNF,SBCF,Tancredo Neves International Airport,BR,"2,715 feet","19° 37' 27.99"" S","43° 58' 18.99"" W",https://en.wikipedia.org/wiki/Belo_Horizonte_International_Airport
CNG,LFBG,Cognac-Châteaubernard (BA 709) Air Base,FR,0 feet,"45° 39' 29.87"" N","0° 19' 3.00"" W",https://en.wikipedia.org/wiki/Cognac_–_Châteaubernard_Air_Base
CNH,KCNH,Claremont Municipal Airport,US,545 feet,"43° 22' 13.56"" N","72° 22' 7.24"" W",https://en.wikipedia.org/wiki/Claremont_Municipal_Airport
CNI,ZYCH,Changhai Airport,CN,0 feet,"39° 16' 0.00"" N","122° 40' 1.00"" E",
CNJ,YCCY,Cloncurry Airport,AU,616 feet,"20° 40' 6.96"" S","140° 30' 14.39"" E",https://en.wikipedia.org/wiki/Cloncurry_Airport
CNK,KCNK,Blosser Municipal Airport,US,"1,486 feet","39° 32' 57.30"" N","97° 39' 8.34"" W",https://en.wikipedia.org/wiki/Blosser_Municipal_Airport
CNL,EKSN,Sindal Airport,DK,92 feet,"57° 30' 12.61"" N","10° 13' 45.84"" E",https://en.wikipedia.org/wiki/Sindal_Airport
CNM,KCNM,Cavern City Air Trml Airport,US,"3,295 feet","32° 20' 14.90"" N","104° 15' 47.80"" W",https://en.wikipedia.org/wiki/Cavern_City_Air_Terminal
CNN,VOKN,Kannur International Airport,IN,249 feet,"11° 55' 12"" N","75° 33' 0"" E",https://www.kannurairport.aero
CNO,KCNO,Chino Airport,US,650 feet,"33° 58' 29.20"" N","117° 38' 11.34"" W",https://en.wikipedia.org/wiki/Chino_Airport
CNP,BGCO,Neerlerit Inaat Airport,GL,0 feet,"70° 44' 35.17"" N","22° 39' 1.80"" W",https://en.wikipedia.org/wiki/Nerlerit_Inaat_Airport
CNP,KCNP,Billy G. Ray Field,US,"3,682 feet","41° 4' 38.90"" N","102° 27' 50.60"" W",
CNQ,SARC,Doctor Fernando Piragine Niveyro International Airport,AR,203 feet,"27° 26' 43.80"" S","58° 45' 42.84"" W",https://en.wikipedia.org/wiki/Doctor_Fernando_Piragine_Niveyro_International_Airport
CNR,SCRA,Chañaral Airport,CL,0 feet,"26° 19' 57.00"" S","70° 36' 26.28"" W",https://en.wikipedia.org/wiki/Chanaral_Airport
CNS,YBCS,Cairns International Airport,AU,10 feet,"16° 53' 8.88"" S","145° 45' 18.02"" E",https://en.wikipedia.org/wiki/Cairns_Airport
CNU,KCNU,Chanute Martin Johnson Airport,US,"1,002 feet","37° 40' 7.67"" N","95° 29' 6.23"" W",https://en.wikipedia.org/wiki/Chanute_Martin_Johnson_Airport
CNV,SNED,Canavieiras Airport,BR,0 feet,"15° 40' 1.20"" S","38° 57' 16.92"" W",
CNW,KCNW,TSTC Waco Airport,US,470 feet,"31° 38' 16.10"" N","97° 4' 26.90"" W",https://en.wikipedia.org/wiki/TSTC_Waco_Airport
CNX,VTCC,Chiang Mai International Airport,TH,"1,036 feet","18° 46' 0.48"" N","98° 57' 45.36"" E",https://en.wikipedia.org/wiki/Chiang_Mai_International_Airport
CNY,KCNY,Canyonlands Field,US,"4,557 feet","38° 45' 17.84"" N","109° 45' 17.44"" W",https://en.wikipedia.org/wiki/Canyonlands_Field
COC,SAAC,Concordia Pierrestegui Airport,AR,112 feet,"31° 17' 48.84"" S","57° 59' 47.76"" W",https://en.wikipedia.org/wiki/Comodoro_Pierrestegui_Airport
COD,KCOD,Yellowstone Regional Airport,US,"5,102 feet","44° 31' 12.70"" N","109° 1' 25.70"" W",https://flyyra.com
COE,KCOE,Coeur d'Alene Air Terminal,US,"2,320 feet","47° 46' 27.50"" N","116° 49' 10.50"" W",https://en.wikipedia.org/wiki/Coeur_d'Alene_Air_Terminal
COF,KCOF,Patrick Air Force Base,US,8 feet,"28° 14' 5.72"" N","80° 36' 36.45"" W",https://en.wikipedia.org/wiki/Patrick_Space_Force_Base
COG,SKCD,Mandinga Airport,CO,0 feet,"5° 4' 59.99"" N","76° 42' 0.00"" W",https://en.wikipedia.org/wiki/Mandinga_Airport
COH,VECO,Cooch Behar Airport,IN,0 feet,"26° 19' 49.80"" N","89° 28' 1.92"" E",https://en.wikipedia.org/wiki/Cooch_Behar_Airport
COI,KCOI,Merritt Island Airport,US,6 feet,"28° 20' 29.80"" N","80° 41' 7.70"" W",https://en.wikipedia.org/wiki/Merritt_Island_Airport
COJ,YCBB,Coonabarabran Airport,AU,0 feet,"31° 19' 57.00"" S","149° 16' 1.19"" E",https://en.wikipedia.org/wiki/Coonabarabran_Airport
COK,VOCI,Cochin International Airport,IN,30 feet,"10° 9' 7.20"" N","76° 24' 6.84"" E",https://cial.aero
COL,EGEL,Coll Airport,UK,0 feet,"56° 36' 6.83"" N","6° 37' 4.01"" W",https://en.wikipedia.org/wiki/Coll_Airport
COM,KCOM,Coleman Municipal Airport,US,"1,697 feet","31° 50' 28.10"" N","99° 24' 13.00"" W",https://en.wikipedia.org/wiki/Coleman_Municipal_Airport
CON,KCON,Concord Municipal Airport,US,342 feet,"43° 12' 9.80"" N","71° 30' 8.20"" W",https://en.wikipedia.org/wiki/Concord_Municipal_Airport
COO,DBBB,Cadjehoun Airport,BJ,19 feet,"6° 21' 26.03"" N","2° 23' 3.66"" E",https://en.wikipedia.org/wiki/Cadjehoun_Airport
COQ,ZMCD,Choibalsan Airport,CN,"2,457 feet","48° 8' 8.42"" N","114° 38' 46.96"" E",https://en.wikipedia.org/wiki/Choibalsan_Airport
COQ,KCOQ,Cloquet Carlton County Airport,US,"1,279 feet","46° 42' 4.08"" N","92° 30' 12.98"" W",https://en.wikipedia.org/wiki/Cloquet_Carlton_County_Airport
COR,SACO,Ingeniero Ambrosio L.V. Taravella International Airport,AR,"1,604 feet","31° 19' 24.96"" S","64° 12' 28.80"" W",https://en.wikipedia.org/wiki/Ingeniero_Ambrosio_L.V._Taravella_International_Airport
COS,KCOS,Colorado Springs Airport,US,"6,187 feet","38° 48' 20.90"" N","104° 42' 2.80"" W",https://en.wikipedia.org/wiki/Colorado_Springs_Airport
COT,KCOT,Cotulla-La Salle County Airport,US,474 feet,"28° 27' 24.10"" N","99° 13' 6.00"" W",https://en.wikipedia.org/wiki/Cotulla-La_Salle_County_Airport
COU,KCOU,Columbia Regional Airport,US,889 feet,"38° 49' 5.14"" N","92° 13' 10.67"" W",https://en.wikipedia.org/wiki/Columbia_Regional_Airport
COV,LPCV,Covilha Airport,PT,"1,572 feet","40° 15' 53.28"" N","7° 28' 47.86"" W",https://en.wikipedia.org/wiki/Covilhã_Airport
COX,MYAK,Congo Town Airport,BS,0 feet,"24° 9' 31.32"" N","77° 35' 23.27"" W",https://en.wikipedia.org/wiki/South_Andros_Airport
COZ,MDCZ,Constanza Airport,DO,"3,952 feet","18° 54' 27.66"" N","70° 43' 10.51"" W",https://en.wikipedia.org/wiki/Constanza_Airport
CPA,GLCP,Cape Palmas Airport,LR,0 feet,"4° 22' 44.47"" N","7° 41' 49.02"" W",https://en.wikipedia.org/wiki/Cape_Palmas_Airport
CPB,SKCA,Capurganá Airport,CO,0 feet,"8° 37' 59.99"" N","77° 21' 0.00"" W",https://en.wikipedia.org/wiki/Capurganá_Airport
CPC,SAMI,Aviador Carlos Campos Airport,AR,0 feet,"33° 3' 45.00"" S","68° 30' 29.88"" W",https://en.wikipedia.org/wiki/San_Martín_Airport
CPC,SAZY,Aviador C. Campos Airport,AR,0 feet,"40° 4' 31.44"" S","71° 8' 14.27"" W",https://en.wikipedia.org/wiki/Aviador_Carlos_Campos_Airport
CPD,YCBP,Coober Pedy Airport,AU,0 feet,"29° 2' 24.00"" S","134° 43' 15.57"" E",https://en.wikipedia.org/wiki/Coober_Pedy_Airport
CPE,MMCP,Ing. Alberto Acuña Ongay International Airport,MX,34 feet,"19° 49' 0.48"" N","90° 30' 1.07"" W",https://en.wikipedia.org/wiki/Campeche_International_Airport
CPF,WARC,Cepu Airport,ID,0 feet,"7° 11' 41.43"" S","111° 32' 53.40"" E",
CPH,EKCH,Copenhagen Airport,DK,17 feet,"55° 37' 4.44"" N","12° 39' 21.60"" E",https://www.cph.dk
CPK,KCPK,Chesapeake Regional Airport,US,20 feet,"36° 39' 56.16"" N","76° 19' 14.53"" W",http://www.chesapeakeairport.com
CPL,SKHA,Chaparral Airport,CO,0 feet,"3° 43' 1.20"" N","75° 28' 1.20"" W",https://en.wikipedia.org/wiki/General_Navas_Pardo_Airport
CPM,KCPM,Compton/Woodley Airport,US,97 feet,"33° 53' 24.06"" N","118° 14' 37.26"" W",https://en.wikipedia.org/wiki/Compton/Woodley_Airport
CPO,SCHA,Chamonate Airport,CL,0 feet,"27° 17' 48.84"" S","70° 24' 47.16"" W",https://en.wikipedia.org/wiki/Chamonate_Airport
CPQ,SDAM,Amarais Airport,BR,0 feet,"22° 51' 33.12"" S","47° 6' 29.52"" W",https://en.wikipedia.org/wiki/Campo_dos_Amarais_Airport
CPR,KCPR,Natrona County International Airport,US,"5,350 feet","42° 54' 28.70"" N","106° 27' 51.85"" W",https://en.wikipedia.org/wiki/Natrona_County_International_Airport
CPS,KCPS,St. Louis Downtown Airport,US,413 feet,"38° 34' 14.61"" N","90° 9' 22.40"" W",https://en.wikipedia.org/wiki/St._Louis_Downtown_Airport
CPT,FACT,Cape Town International Airport,ZA,854 feet,"33° 57' 53.29"" S","18° 36' 6.12"" E",https://en.wikipedia.org/wiki/Cape_Town_International_Airport
CPU,SNCU,Cururupu Airport,BR,0 feet,"1° 49' 16.00"" S","44° 52' 1.00"" W",
CPU,KCPU,Calaveras County-Maury Rasmussen Field,US,"1,325 feet","38° 8' 46.02"" N","120° 38' 53.42"" W",https://en.wikipedia.org/wiki/Calaveras_County_Airport
CPV,SBKG,Presidente Vargas Airport,BR,"1,646 feet","7° 16' 11.71"" S","35° 53' 47.04"" W",https://en.wikipedia.org/wiki/Campina_Grande_Airport
CPX,TJCP,Benjamin Rivera Noriega Airport,PR,49 feet,"18° 18' 47.84"" N","65° 18' 15.57"" W",https://en.wikipedia.org/wiki/Benjamin_Rivera_Noriega_Airport
CQA,SWEK,Canarana Airport,BR,0 feet,"13° 34' 28.00"" S","52° 16' 14.01"" W",https://en.wikipedia.org/wiki/Canarana_Airport
CQD,OIFS,Shahre-Kord Airport,IR,"6,723 feet","32° 17' 49.92"" N","50° 50' 31.92"" E",https://en.wikipedia.org/wiki/Shahrekord_Airport
CQF,LFAC,Calais - Dunkerque Airport,FR,12 feet,"50° 57' 43.56"" N","1° 57' 17.14"" E",https://en.wikipedia.org/wiki/Calais–Dunkerque_Airport
CQM,LERL,Ciudad Real Central Airport,ES,0 feet,"38° 51' 23.00"" N","3° 58' 12.00"" W",https://en.wikipedia.org/wiki/Ciudad_Real_International_Airport
CQS,SWCQ,Costa Marques Airport,BR,555 feet,"12° 25' 15.82"" S","64° 15' 5.92"" W",
CRA,LRCV,Craiova Airport,RO,626 feet,"44° 19' 5.16"" N","23° 53' 18.96"" E",https://en.wikipedia.org/wiki/Craiova_International_Airport
CRB,YCBR,Collarenebri Airport,AU,0 feet,"29° 31' 18.12"" S","148° 34' 55.20"" E",https://en.wikipedia.org/wiki/Collarenebri_Airport
CRC,SKGO,Santa Ana Airport,CO,613 feet,"4° 45' 29.45"" N","75° 57' 20.52"" W",https://en.wikipedia.org/wiki/Santa_Ana_Airport_(Colombia)
CRD,SAVC,General Enrique Mosconi International Airport,AR,190 feet,"45° 47' 7.08"" S","67° 27' 55.80"" W",https://en.wikipedia.org/wiki/General_Enrique_Mosconi_International_Airport
CRE,KCRE,Grand Strand Airport,US,32 feet,"33° 48' 42.30"" N","78° 43' 26.20"" W",https://en.wikipedia.org/wiki/Grand_Strand_Airport
CRF,FEFC,Carnot Airport,CF,0 feet,"4° 56' 13.20"" N","15° 53' 38.40"" E",https://en.wikipedia.org/wiki/Carnot_Airport
CRG,KCRG,Craig Municipal Airport,US,41 feet,"30° 20' 10.80"" N","81° 30' 52.00"" W",https://en.wikipedia.org/wiki/Jacksonville_Executive_at_Craig_Airport
CRI,MYCI,Colonel Hill Airport,BS,0 feet,"22° 44' 44.16"" N","74° 10' 56.65"" W",https://en.wikipedia.org/wiki/Colonel_Hill_Airport
